2.66847,3.26025,0.416294,20.5556
2.66943,3.23595,0.415977,21.3008
4.69651,7.27448,0.800318,31.3977
4.88074,7.28743,0.796981,31.6869
4.94369,7.01067,0.745833,32.0663
4.65287,7.19481,0.773249,32.2172
4.72309,7.12502,0.78289,31.5081
4.84875,7.28913,0.799805,31.7132
4.95098,7.07391,0.736812,31.9897
4.73403,7.1737,0.744638,32.2515
4.76332,7.17092,0.787045,32.3969
4.78231,7.34963,0.809009,31.6426
4.92715,7.12975,0.730838,31.7595
4.94385,7.02583,0.7214,32.3981
4.74744,7.15445,0.788988,32.2122
4.96017,7.32106,0.810673,31.6802
4.90881,7.61645,0.676494,32.175
4.95349,7.01804,0.721668,32.2636
4.69496,7.24735,0.790649,32.6974
4.76355,7.42792,0.853039,31.9222
4.90121,7.46131,0.803771,32.0471
4.96985,7.216,0.742036,32.5887
4.75351,7.23457,0.800948,32.9038
4.73372,7.21074,0.784211,31.9424
4.82818,7.46441,0.799459,32.0001
4.91782,6.99865,0.732522,32.6789
4.78598,7.15648,0.739609,32.3871
4.72938,7.27895,0.780628,32.5066
4.74518,7.34845,0.79705,31.5482
4.97651,7.5577,0.724666,32.2992
4.95329,7.03619,0.76902,32.6058
4.66361,7.17143,0.784953,32.2577
4.72383,7.48363,0.801305,31.6443
4.87965,7.30843,0.799396,31.8065
4.93538,6.98679,0.725901,31.9101
4.66005,7.07346,0.781889,32.0006
4.71117,7.16399,0.784471,31.6229
4.86708,7.29046,0.796878,31.5697
4.91733,6.99805,0.737261,31.7514
4.7713,7.30523,0.740049,33.3376
4.74083,7.16085,0.78999,31.7514
4.79384,7.35849,0.807027,31.6334
4.94105,7.12383,0.736627,32.3602
4.81751,7.15864,0.765194,32.7503
4.72356,7.16292,0.781099,31.8007
4.73165,7.28606,0.801131,31.4357
4.88685,7.29602,0.659288,31.8487
4.92826,6.97686,0.721631,32.6719
4.6228,7.08125,0.784955,32.0569
4.70029,7.18973,0.792405,31.53
4.88483,7.37595,0.799963,31.7531
4.93126,7.01519,0.733872,31.7312
4.71446,7.18075,0.734405,32.4108
4.72158,7.12283,0.78441,31.5195
4.82086,7.30058,0.796542,31.6089
4.9246,7.05887,0.75252,31.838
4.81057,7.12665,0.727254,32.3651
4.71852,7.09773,0.782717,31.8759
4.7242,7.28187,0.799231,31.6005
4.88626,7.40417,0.644061,32.0968
4.93031,6.97203,0.722517,31.9928
4.58617,7.0843,0.788005,31.8204
4.67928,7.25839,0.793614,31.4846
4.88195,7.31416,0.798195,32.0623
4.92991,7.02369,0.731692,31.9063
4.72661,7.21719,0.744409,32.8378
4.74299,7.11112,0.792183,31.6461
4.80951,7.26654,0.795738,31.528
4.912,7.12067,0.731885,31.8329
4.8037,7.09809,0.72014,32.7341
4.69648,7.09028,0.784042,31.7942
4.69124,7.28022,0.803345,31.4349
4.88272,7.28137,0.79896,31.6393
4.93136,6.71332,0.738044,31.6068
4.67216,7.11143,0.748916,33.4477
4.76404,7.22931,0.788147,31.6792
4.87436,7.27699,0.80086,31.97
4.92052,7.03298,0.732352,31.846
4.73742,7.17161,0.735446,33.3166
4.7351,7.13548,0.786928,31.7773
4.79924,7.33127,0.805254,32.0481
4.94033,7.1324,0.731617,31.91
4.8153,7.15766,0.735472,32.5107
2.67065,3.23762,0.418214,20.7094
2.66909,3.21904,0.413169,20.5319
2.669,3.37076,0.416216,20.6625
2.67136,3.25177,0.416172,20.5596
2.67038,3.25805,0.416445,20.5362
2.67157,3.23892,0.41599,20.5498
2.67294,3.28796,0.416897,20.6459
2.66863,3.20715,0.415676,21.4707
2.669,3.26055,0.416124,20.6197
2.67357,3.21533,0.415287,20.4778
2.6677,3.21087,0.413071,20.5075
2.66877,3.23964,0.416051,20.5029
2.67198,3.277,0.415677,20.5702
2.67039,3.22057,0.415875,20.5493
2.66925,3.19968,0.416301,20.4887
2.67699,3.27433,0.416107,20.5471
2.67283,3.32936,0.415711,20.6195
